OTHER
16
 1
 2
 4
 10
 11
 13
 17
 23
 25
 29
 33
 34
 38
 43
 46
 47
 52 1326
 3 49 72
 3 50 116
 3 51 249
 3 52 371
 4 5 26
 4 6 17
 4 7 257
 4 8 131
 4 9 153
 4 10 133
 4 11 166
 4 12 74
 4 13 178
 4 14 224
 4 15 25
 4 16 96
 4 17 200
 4 18 133
 4 19 119
 4 20 125
 4 21 170
 4 22 109
 4 23 134
 4 24 31
 4 25 27
 4 26 129
 4 27 132
 4 28 104
 4 29 145
 4 30 172
 4 31 135
 4 32 93
 4 33 129
 4 34 67
 4 35 69
 4 36 68
 4 37 48
 4 38 39
 4 39 58
 4 40 47
 4 41 136
 4 42 238
 4 43 61
 4 44 77
 4 45 103
 4 46 58
 4 47 165
 4 48 34
 4 49 86
 4 50 119
 4 51 99
 4 52 227
 5 6 9
 5 7 231
 5 8 118
 5 9 146
 5 10 128
 5 11 190
 5 12 96
 5 13 192
 5 14 236
 5 15 6
 5 16 77
 5 17 175
 5 18 108
 5 19 100
 5 20 102
 5 21 144
 5 22 83
 5 23 109
 5 24 8
 5 25 38
 5 26 138
 5 27 146
 5 28 120
 5 29 127
 5 30 149
 5 31 109
 5 32 68
 5 33 147
 5 34 41
 5 35 43
 5 36 42
 5 37 22
 5 38 13
 5 39 32
 5 40 21
 5 41 120
 5 42 212
 5 43 67
 5 44 53
 5 45 83
 5 46 43
 5 47 168
 5 48 12
 5 49 60
 5 50 97
 5 51 125
 5 52 246
 6 7 239
 6 8 123
 6 9 149
 6 10 131
 6 11 182
 6 12 87
 6 13 186
 6 14 231
 6 15 10
 6 16 82
 6 17 184
 6 18 116
 6 19 107
 6 20 109
 6 21 153
 6 22 92
 6 23 117
 6 24 14
 6 25 31
 6 26 133
 6 27 140
 6 28 113
 6 29 132
 6 30 156
 6 31 118
 6 32 76
 6 33 142
 6 34 49
 6 35 51
 6 36 50
 6 37 30
 6 38 22
 6 39 40
 6 40 30
 6 41 126
 6 42 220
 6 43 65
 6 44 60
 6 45 90
 6 46 46
 6 47 165
 6 48 18
 6 49 69
 6 50 103
 6 51 116
 6 52 239
 7 8 230
 7 9 274
 7 10 274
 7 11 407
 7 12 311
 7 13 360
 7 14 380
 7 15 234
 7 16 178
 7 17 113
 7 18 141
 7 19 202
 7 20 138
 7 21 90
 7 22 152
 7 23 123
 7 24 225
 7 25 253
 7 26 298
 7 27 324
 7 28 309
 7 29 159
 7 30 96
 7 31 128
 7 32 175
 7 33 365
 7 34 190
 7 35 189
 7 36 190
 7 37 209
 7 38 219
 7 39 201
 7 40 212
 7 41 214
 7 42 19
 7 43 274
 7 44 182
 7 45 197
 7 46 211
 7 47 289
 7 48 223
 7 49 175
 7 50 146
 7 51 351
 7 52 429
 8 9 46
 8 10 45
 8 11 286
 8 12 203
 8 13 309
 8 14 354
 8 15 113
 8 16 165
 8 17 127
 8 18 95
 8 19 31
 8 20 159
 8 21 145
 8 22 104
 8 23 147
 8 24 122
 8 25 154
 8 26 256
 8 27 262
 8 28 235
 8 29 208
 8 30 190
 8 31 114
 8 32 85
 8 33 161
 8 34 114
 8 35 109
 8 36 105
 8 37 115
 8 38 112
 8 39 103
 8 40 105
 8 41 16
 8 42 214
 8 43 90
 8 44 132
 8 45 47
 8 46 150
 8 47 284
 8 48 124
 8 49 96
 8 50 161
 8 51 215
 8 52 358
 9 10 21
 9 11 291
 9 12 218
 9 13 329
 9 14 377
 9 15 140
 9 16 204
 9 17 168
 9 18 141
 9 19 77
 9 20 203
 9 21 191
 9 22 148
 9 23 192
 9 24 152
 9 25 179
 9 26 282
 9 27 284
 9 28 256
 9 29 250
 9 30 235
 9 31 160
 9 32 128
 9 33 143
 9 34 152
 9 35 147
 9 36 144
 9 37 149
 9 38 143
 9 39 139
 9 40 139
 9 41 60
 9 42 259
 9 43 97
 9 44 171
 9 45 90
 9 46 183
 9 47 314
 9 48 154
 9 49 138
 9 50 204
 9 51 221
 9 52 372
 10 11 271
 10 12 198
 10 13 309
 10 14 357
 10 15 123
 10 16 191
 10 17 172
 10 18 137
 10 19 73
 10 20 193
 10 21 188
 10 22 140
 10 23 184
 10 24 134
 10 25 160
 10 26 262
 10 27 264
 10 28 236
 10 29 238
 10 30 228
 10 31 155
 10 32 118
 10 33 125
 10 34 138
 10 35 134
 10 36 130
 10 37 133
 10 38 127
 10 39 125
 10 40 123
 10 41 61
 10 42 258
 10 43 77
 10 44 158
 10 45 82
 10 46 167
 10 47 296
 10 48 138
 10 49 127
 10 50 193
 10 51 200
 10 52 351
 11 12 97
 11 13 111
 11 14 155
 11 15 191
 11 16 229
 11 17 365
 11 18 298
 11 19 281
 11 20 269
 11 21 329
 11 22 271
 11 23 286
 11 24 193
 11 25 158
 11 26 135
 11 27 104
 11 28 104
 11 29 261
 11 30 313
 11 31 297
 11 32 258
 11 33 177
 11 34 226
 11 35 230
 11 36 230
 11 37 209
 11 38 203
 11 39 221
 11 40 211
 11 41 295
 11 42 388
 11 43 197
 11 44 228
 11 45 267
 11 46 197
 11 47 176
 11 48 194
 11 49 250
 11 50 261
 11 51 71
 11 52 100
 12 13 113
 12 14 163
 12 15 97
 12 16 134
 12 17 270
 12 18 202
 12 19 192
 12 20 174
 12 21 232
 12 22 175
 12 23 190
 12 24 97
 12 25 61
 12 26 84
 12 27 71
 12 28 46
 12 29 172
 12 30 219
 12 31 200
 12 32 163
 12 33 146
 12 34 130
 12 35 134
 12 36 134
 12 37 113
 12 38 107
 12 39 126
 12 40 116
 12 41 209
 12 42 292
 12 43 121
 12 44 132
 12 45 176
 12 46 100
 12 47 129
 12 48 98
 12 49 154
 12 50 166
 12 51 47
 12 52 155
 13 14 51
 13 15 196
 13 16 190
 13 17 350
 13 18 284
 13 19 292
 13 20 230
 13 21 299
 13 22 255
 13 23 252
 13 24 190
 13 25 155
 13 26 64
 13 27 46
 13 28 73
 13 29 201
 13 30 264
 13 31 276
 13 32 251
 13 33 253
 13 34 214
 13 35 219
 13 36 220
 13 37 202
 13 38 201
 13 39 216
 13 40 209
 13 41 312
 13 42 343
 13 43 233
 13 44 205
 13 45 275
 13 46 174
 13 47 81
 13 48 189
 13 49 240
 13 50 221
 13 51 135
 13 52 70
 14 15 240
 14 16 221
 14 17 384
 14 18 320
 14 19 335
 14 20 259
 14 21 328
 14 22 291
 14 23 282
 14 24 233
 14 25 200
 14 26 99
 14 27 94
 14 28 121
 14 29 222
 14 30 287
 14 31 310
 14 32 290
 14 33 304
 14 34 252
 14 35 258
 14 36 260
 14 37 243
 14 38 244
 14 39 257
 14 40 251
 14 41 356
 14 42 364
 14 43 281
 14 44 242
 14 45 317
 14 46 212
 14 47 91
 14 48 231
 14 49 278
 14 50 250
 14 51 186
 14 52 80
 15 16 83
 15 17 175
 15 18 108
 15 19 97
 15 20 106
 15 21 146
 15 22 85
 15 23 113
 15 24 14
 15 25 41
 15 26 143
 15 27 150
 15 28 123
 15 29 133
 15 30 153
 15 31 111
 15 32 68
 15 33 142
 15 34 44
 15 35 45
 15 36 44
 15 37 26
 15 38 15
 15 39 33
 15 40 23
 15 41 116
 15 42 215
 15 43 60
 15 44 58
 15 45 80
 15 46 49
 15 47 174
 15 48 18
 15 49 62
 15 50 102
 15 51 124
 15 52 249
 16 17 163
 16 18 102
 16 19 137
 16 20 41
 16 21 109
 16 22 74
 16 23 62
 16 24 69
 16 25 82
 16 26 126
 16 27 149
 16 28 131
 16 29 50
 16 30 84
 16 31 89
 16 32 83
 16 33 224
 16 34 53
 16 35 57
 16 36 61
 16 37 61
 16 38 71
 16 39 66
 16 40 71
 16 41 160
 16 42 160
 16 43 143
 16 44 33
 16 45 119
 16 46 39
 16 47 135
 16 48 65
 16 49 70
 16 50 33
 16 51 178
 16 52 256
 17 18 68
 17 19 105
 17 20 128
 17 21 63
 17 22 96
 17 23 105
 17 24 173
 17 25 209
 17 26 287
 17 27 307
 17 28 284
 17 29 177
 17 30 123
 17 31 74
 17 32 108
 17 33 280
 17 34 140
 17 35 136
 17 36 136
 17 37 157
 17 38 163
 17 39 144
 17 40 154
 17 41 111
 17 42 102
 17 43 193
 17 44 145
 17 45 109
 17 46 177
 17 47 297
 17 48 172
 17 49 115
 17 50 136
 17 51 299
 17 52 412
 18 19 65
 18 20 77
 18 21 51
 18 22 29
 18 23 57
 18 24 105
 18 25 141
 18 26 222
 18 27 240
 18 28 217
 18 29 129
 18 30 96
 18 31 20
 18 32 41
 18 33 226
 18 34 73
 18 35 68
 18 36 68
 18 37 89
 18 38 95
 18 39 76
 18 40 86
 18 41 83
 18 42 123
 18 43 135
 18 44 79
 18 45 57
 18 46 110
 18 47 237
 18 48 104
 18 49 48
 18 50 82
 18 51 232
 18 52 345
 19 20 128
 19 21 115
 19 22 73
 19 23 115
 19 24 103
 19 25 138
 19 26 236
 19 27 246
 19 28 220
 19 29 178
 19 30 158
 19 31 83
 19 32 55
 19 33 175
 19 34 88
 19 35 83
 19 36 79
 19 37 93
 19 38 92
 19 39 80
 19 40 84
 19 41 23
 19 42 185
 19 43 92
 19 44 105
 19 45 19
 19 46 126
 19 47 261
 19 48 104
 19 49 67
 19 50 130
 19 51 211
 19 52 345
 20 21 70
 20 22 56
 20 23 24
 20 24 95
 20 25 117
 20 26 166
 20 27 190
 20 28 173
 20 29 53
 20 30 47
 20 31 59
 20 32 75
 20 33 248
 20 34 64
 20 35 65
 20 36 69
 20 37 81
 20 38 91
 20 39 78
 20 40 87
 20 41 150
 20 42 119
 20 43 160
 20 44 49
 20 45 113
 20 46 74
 20 47 170
 20 48 91
 20 49 66
 20 50 9
 20 51 215
 20 52 297
 21 22 63
 21 23 47
 21 24 140
 21 25 171
 21 26 235
 21 27 258
 21 28 238
 21 29 115
 21 30 60
 21 31 38
 21 32 85
 21 33 274
 21 34 104
 21 35 102
 21 36 103
 21 37 123
 21 38 132
 21 39 113
 21 40 124
 21 41 131
 21 42 72
 21 43 183
 21 44 100
 21 45 108
 21 46 133
 21 47 239
 21 48 137
 21 49 86
 21 50 78
 21 51 268
 21 52 364
 22 23 44
 22 24 79
 22 25 114
 22 26 193
 22 27 211
 22 28 188
 22 29 107
 22 30 88
 22 31 26
 22 32 24
 22 33 213
 22 34 45
 22 35 41
 22 36 42
 22 37 63
 22 38 70
 22 39 52
 22 40 62
 22 41 94
 22 42 134
 22 43 122
 22 44 50
 22 45 58
 22 46 81
 22 47 208
 22 48 78
 22 49 23
 22 50 59
 22 51 208
 22 52 317
 23 24 103
 23 25 130
 23 26 189
 23 27 211
 23 28 193
 23 29 74
 23 30 45
 23 31 38
 23 32 67
 23 33 250
 23 34 69
 23 35 68
 23 36 71
 23 37 87
 23 38 98
 23 39 81
 23 40 91
 23 41 136
 23 42 104
 23 43 160
 23 44 59
 23 45 102
 23 46 89
 23 47 193
 23 48 100
 23 49 61
 23 50 32
 23 51 229
 23 52 318
 24 25 37
 24 26 134
 24 27 144
 24 28 118
 24 29 120
 24 30 142
 24 31 105
 24 32 66
 24 33 155
 24 34 36
 24 35 38
 24 36 38
 24 37 17
 24 38 11
 24 39 29
 24 40 20
 24 41 123
 24 42 206
 24 43 74
 24 44 46
 24 45 85
 24 46 35
 24 47 163
 24 48 4
 24 49 58
 24 50 89
 24 51 129
 24 52 245
 25 26 103
 25 27 109
 25 28 82
 25 29 127
 25 30 164
 25 31 139
 25 32 102
 25 33 151
 25 34 69
 25 35 73
 25 36 73
 25 37 52
 25 38 48
 25 39 65
 25 40 57
 25 41 157
 25 42 234
 25 43 89
 25 44 72
 25 45 120
 25 46 43
 25 47 138
 25 48 37
 25 49 93
 25 50 110
 25 51 98
 25 52 209
 26 27 32
 26 28 40
 26 29 140
 26 30 201
 26 31 213
 26 32 191
 26 33 229
 26 34 154
 26 35 159
 26 36 161
 26 37 144
 26 38 145
 26 39 158
 26 40 152
 26 41 257
 26 42 280
 26 43 189
 26 44 144
 26 45 218
 26 46 113
 26 47 46
 26 48 133
 26 49 180
 26 50 158
 26 51 124
 26 52 131
 27 28 28
 27 29 168
 27 30 228
 27 31 233
 27 32 206
 27 33 215
 27 34 169
 27 35 173
 27 36 175
 27 37 156
 27 38 155
 27 39 170
 27 40 163
 27 41 266
 27 42 307
 27 43 188
 27 44 162
 27 45 228
 27 46 130
 27 47 73
 27 48 143
 27 49 195
 27 50 182
 27 51 103
 27 52 106
 28 29 157
 28 30 213
 28 31 211
 28 32 181
 28 33 192
 28 34 145
 28 35 149
 28 36 151
 28 37 131
 28 38 129
 28 39 145
 28 40 138
 28 41 239
 28 42 291
 28 43 160
 28 44 140
 28 45 202
 28 46 107
 28 47 86
 28 48 117
 28 49 171
 28 50 164
 28 51 84
 28 52 128
 29 30 65
 29 31 111
 29 32 123
 29 33 274
 29 34 100
 29 35 104
 29 36 108
 29 37 111
 29 38 121
 29 39 115
 29 40 120
 29 41 200
 29 42 143
 29 43 193
 29 44 81
 29 45 161
 29 46 87
 29 47 131
 29 48 116
 29 49 112
 29 50 48
 29 51 218
 29 52 270
 30 31 76
 30 32 112
 30 33 293
 30 34 110
 30 35 110
 30 36 113
 30 37 127
 30 38 138
 30 39 124
 30 40 133
 30 41 178
 30 42 79
 30 43 204
 30 44 96
 30 45 146
 30 46 120
 30 47 196
 30 48 138
 30 49 106
 30 50 54
 30 51 261
 30 52 333
 31 32 48
 31 33 237
 31 34 70
 31 35 67
 31 36 68
 31 37 89
 31 38 96
 31 39 78
 31 40 88
 31 41 102
 31 42 110
 31 43 146
 31 44 71
 31 45 73
 31 46 104
 31 47 224
 31 48 103
 31 49 49
 31 50 66
 31 51 234
 31 52 339
 32 33 190
 32 34 38
 32 35 33
 32 36 31
 32 37 51
 32 38 55
 32 39 37
 32 40 46
 32 41 78
 32 42 157
 32 43 98
 32 44 52
 32 45 38
 32 46 78
 32 47 211
 32 48 65
 32 49 12
 32 50 76
 32 51 192
 32 52 310
 33 34 184
 33 35 183
 33 36 180
 33 37 167
 33 38 156
 33 39 170
 33 40 161
 33 41 176
 33 42 347
 33 43 91
 33 44 200
 33 45 172
 33 46 187
 33 47 274
 33 48 159
 33 49 191
 33 50 243
 33 51 119
 33 52 272
 34 35 5
 34 36 8
 34 37 19
 34 38 29
 34 39 15
 34 40 23
 34 41 110
 34 42 171
 34 43 96
 34 44 20
 34 45 69
 34 46 40
 34 47 174
 34 48 33
 34 49 26
 34 50 61
 34 51 164
 34 52 273
 35 36 4
 35 37 22
 35 38 30
 35 39 13
 35 40 23
 35 41 105
 35 42 170
 35 43 94
 35 44 24
 35 45 64
 35 46 46
 35 47 180
 35 48 36
 35 49 21
 35 50 63
 35 51 167
 35 52 278
 36 37 21
 36 38 29
 36 39 11
 36 40 21
 36 41 102
 36 42 172
 36 43 91
 36 44 28
 36 45 61
 36 46 48
 36 47 182
 36 48 36
 36 49 20
 36 50 66
 36 51 166
 36 52 279
 37 38 11
 37 39 14
 37 40 10
 37 41 114
 37 42 190
 37 43 82
 37 44 33
 37 45 74
 37 46 35
 37 47 169
 37 48 15
 37 49 41
 37 50 76
 37 51 145
 37 52 259
 38 39 19
 38 40 9
 38 41 112
 38 42 200
 38 43 72
 38 44 43
 38 45 74
 38 46 41
 38 47 173
 38 48 12
 38 49 48
 38 50 87
 38 51 138
 38 52 257
 39 40 11
 39 41 102
 39 42 182
 39 43 81
 39 44 34
 39 45 61
 39 46 47
 39 47 182
 39 48 28
 39 49 29
 39 50 76
 39 51 157
 39 52 273
 40 41 105
 40 42 193
 40 43 73
 40 44 40
 40 45 66
 40 46 45
 40 47 179
 40 48 20
 40 49 39
 40 50 83
 40 51 146
 40 52 265
 41 42 199
 41 43 100
 41 44 128
 41 45 41
 41 46 148
 41 47 283
 41 48 125
 41 49 90
 41 50 153
 41 51 224
 41 52 363
 42 43 255
 42 44 163
 42 45 180
 42 46 192
 42 47 273
 42 48 204
 42 49 157
 42 50 127
 42 51 332
 42 52 411
 43 44 114
 43 45 84
 43 46 109
 43 47 226
 43 48 78
 43 49 100
 43 50 157
 43 51 126
 43 52 274
 44 45 87
 44 46 33
 44 47 160
 44 48 43
 44 49 39
 44 50 44
 44 51 170
 44 52 268
 45 46 107
 45 47 242
 45 48 86
 45 49 49
 45 50 114
 45 51 198
 45 52 329
 46 47 135
 46 48 31
 46 49 66
 46 50 67
 46 51 141
 46 52 235
 47 48 161
 47 49 199
 47 50 162
 47 51 170
 47 52 149
 48 49 56
 48 50 86
 48 51 131
 48 52 245
 49 50 66
 49 51 185
 49 52 299
 50 51 207
 50 52 288
 51 52 156
